Company Name;Date;Ticker;Adj Close;Close value in reference period;Number of Records
Symantec;02.12.2013;SYMC;$11.59;$11,59;1
VASCO;02.12.2013;VDSI;$9.25;$9,25;1
Sourcefire;03.12.2013;FIRE;$5.40;$5,40;1
Symantec;03.12.2013;SYMC;$11.92;$11,92;1
VASCO;03.12.2013;VDSI;$9.25;$9,25;1
Sourcefire;04.12.2013;FIRE;$5.14;$5,14;1
Symantec;04.12.2013;SYMC;$11.10;$11,10;1
VASCO;04.12.2013;VDSI;$8.58;$8,58;1
Sourcefire;05.12.2013;FIRE;$5.64;$5,64;1
Symantec;05.12.2013;SYMC;$12.04;$12,04;1
VASCO;05.12.2013;VDSI;$9.37;$9,37;1
Sourcefire;08.12.2013;FIRE;$5.90;$5,90;1
Symantec;08.12.2013;SYMC;$12.59;$12,59;1
VASCO;08.12.2013;VDSI;$9.84;$9,84;1
Sourcefire;09.12.2013;FIRE;$5.50;$5,50;1
Symantec;09.12.2013;SYMC;$12.57;$12,57;1
VASCO;09.12.2013;VDSI;$9.55;$9,55;1
Sourcefire;10.12.2013;FIRE;$5.46;$5,46;1
Symantec;10.12.2013;SYMC;$12.75;$12,75;1
